,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
1008,mcphersonleee,@LeggeEthan is this a subtweet :/,943160479106715653,LeggeEthan,2017 was total garbage and I’ll live the rest of my life ignoring its existence,942980197573365762
1009,lamedotking,@CRAWFORDIA sounds like a subtweet to me 👀,943159184803102722,CRAWFORDIA,Amazing how many students would have a better #APMACRO grade if they just finish everfi #PLAN2PASS,943156281271046144
1010,GulfWarForWhy,@nanachiis Is this a subtweet on me,943156056426921984,nanachiis,ill do a face reveal when ppl actually follow me back,942990297612427265
1011,gothycrip,@touchmybobby Don't subtweet me,943155218467913728,touchmybobby,"ALIEN: h-

THE INTERNET: choke me. spit acid on me. lay your eggs in my body",943151846088151041
1012,schwulerveganer,@ttomokko (subtweet an feli),943153302614790144,ttomokko,Sie erinnert mich immer dadrin das ich sie scheiße finde,942817172090482688
1013,emmaclasko,@TheRealDayWu Are you having an actual subtweet conversation https://t.co/tvyqu0AJzO,943150167657721857,TheRealDayWu,"If i’m the cause of so much sorrow, and you feel the way you feel, you need to come talk to me. This needs to be solved.",943130144012726273
1014,Jaskaran__Singh,@EDM4Pune Bass bc subtweet karvalo,943144888954126336,EDM4Pune,People dont want to struggle to reach to the top,943116804334936064
1015,StudentDotCom,@allstarcharts How dare you subtweet @JeffMacke.  He is sure to come at you now for being anti-American and a hater of Christmas. :),943138645925597185,allstarcharts,If you feel the need to make a hat to celebrate every time the Dow rallies 1000 points (or just 4%) you've completely lost your mind,943136707322490881
1016,PAMMda_Bear,@jessicamoore125 Stop subtweet about megan @jessicamoore125,943138466384269314,jessicamoore125,ive said it once and ill say it again MEN . are TRASH.,942604285828894720
1017,Wanyal,"@ER_NoTR no need to subtweet me, earl",943138198246645763,ER_NoTR,"I'm not looking to shame anyone, but some folks have completely illegible handwriting!",943138100833865729
1018,victoryrhoad,@miacantdraw Is this a subtweet to someone else,943136435296722945,miacantdraw,A lot of really great things have happened to me this year but they would all be beaten out by Jill Stein being a Russian agent,943013951859773442
1019,natsukashiizero,@marcorubio Better to be silent than subtweet oneself with advice not taken,943128558465142827,marcorubio,Better to be poor and walk in integrity than rich and crooked in one’s ways. Proverbs 19:1,943091610623070208
1020,rafioliiii,"@jay41_ And this shit doesn’t have anything to do with you, so it doesn’t make much sense that you subtweet us ever… https://t.co/azIE2tmf0E",943124954895314944,jay41_,Y’all got the biggest twitter fingers but it’s funny how in person y’all didn’t do anything? 🤦🏽‍♂️,943088424529080320
1021,kkeanaaaaa_,@CedSaidwhat @KennaLien @courtney_king3 @LMPoe18  Thanks for the subtweet Ced!!,943122336596856833,CedSaidwhat,I’m constantly thankful for good friends,943000980349648897
1022,bronnie_n_mase,@HeySamWarden @TheCursedChapo @The_PochMother @mrbargearse You’re asking the wrong person. I subtweet often regardl… https://t.co/sCZIe3Ew9J,943103668093566977,TheCursedChapo,im surprised he has the intelligence to use a spreadsheet,943085387160809472
1023,MetaWendoh,@KowDady *subtweet*,943099623685672960,KowDady,"""On peut rire de tout, mais pas avec les SJW de merde là"" - Pierre Desproges",943098844195192832
1024,pjfluegercpdfan,"@ChicagoFireCPD Then subtweet the shit out of you and when you call them out, they swear it wasn’t about you. 🙄 I’v… https://t.co/E94OEw7sdg",943093944828809216,ChicagoFireCPD,I mean I'm always going to believe women. I'm NEVER going to victim shame. That's not me being a fan. That's me being a decent human.,942954085153738752
1025,snicky639476911,@marcorubio Solid subtweet,943092996488142848,marcorubio,Better to be poor and walk in integrity than rich and crooked in one’s ways. Proverbs 19:1,943091610623070208
1026,The_PochMother,"@TheCursedChapo Mate.

Twitter works when you jump in on a thread and be SOCIAL.

Nigel no friends are the only ones who subtweet",943085972182331393,TheCursedChapo,im surprised he has the intelligence to use a spreadsheet,943085387160809472
1027,ConfusedSwitch,"@LottieChameleon ""Super cute""

Ah this subtweet isn't about me then",943084069243506688,LottieChameleon,How do I keep finding random friends who share a bunch of kinks and are also super cute omg,942902465032347649
1028,RainwayGaming,@CovenRBX Who's the subtweet about? 👀,943072630633984000,CovenRBX,Some people sure like to talk a lot about others when they hold some pretty spicy secrets themselves. 😏🍆¯\_(ツ)_/¯,943071130583273472
