,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
4229,$ 50 -,-12.969525092978847,", means",-12.366069170340657
4230,$ 50 gas,-12.969525092978847,gonna lose,-12.366299458656268
4231,$ 50 million,-12.969525092978847,hallway,-12.366307091959563
4232,$ 50 opening,-12.969525092978847,insert,-12.366435783447814
4233,$ 50 today,-12.969525092978847,", talk",-12.36647703793738
4234,$ 500,-12.969525092978847,douche,-12.366503869755741
4235,$ 500 -,-12.969525092978847,got shit,-12.366572053585225
4236,$ 500 pop,-12.969525092978847,fug,-12.366838566860599
4237,$ 500 present,-12.969525092978847,yell,-12.367205808968139
4238,"$ 500,000",-12.969525092978847,"hell ,",-12.367224078147135
4239,"$ 500,000 gofundme",-12.969525092978847,2 seconds,-12.36729134074166
4240,$ 550,-12.969525092978847,freak,-12.367325229126061
4241,"$ 550,000",-12.969525092978847,devil,-12.367545247550495
4242,"$ 550,000 .",-12.969525092978847,kill .,-12.367545510111812
4243,$ 5500,-12.969525092978847,tell girl,-12.367631385714006
4244,$ 5500 .,-12.969525092978847,russian,-12.367768454139195
4245,$ 5900,-12.969525092978847,breakdown,-12.367846733378142
4246,$ 5900 low,-12.969525092978847,chick,-12.3680086027037
4247,$ 6,-12.969525092978847,thanks .,-12.368020502001599
4248,$ 6 million,-12.969525092978847,familiar,-12.368042504544327
4249,$ 60 cause,-12.969525092978847,face face,-12.368355426200702
4250,$ 65,-12.969525092978847,kev,-12.368490090700924
4251,$ 65 billion,-12.969525092978847,speed,-12.368526304198479
4252,$ 6b,-12.969525092978847,need say,-12.368563765720802
4253,$ 6b surplus,-12.969525092978847,aux,-12.368582786401708
4254,$ 700,-12.969525092978847,attention !,-12.368659326520302
4255,$ 700 drink,-12.969525092978847,quotes,-12.368670061351358
4256,$ 72,-12.969525092978847,pundits,-12.36869992101031
4257,$ 72 billion,-12.969525092978847,nice person,-12.368725297883783
4258,$ 74,-12.969525092978847,just sayin,-12.368727066314229
4259,$ 74 forfeit,-12.969525092978847,@ know,-12.36874030665038
4260,$ 750,-12.969525092978847,baby .,-12.36879762100886
4261,$ 750 fine,-12.969525092978847,matches,-12.368854232004894
4262,$ 7usd,-12.969525092978847,they're cool,-12.368863719333532
4263,$ 7usd headshot,-12.969525092978847,. makes,-12.36888786395696
4264,$ 8 tube,-12.969525092978847,final,-12.368890794628141
4265,$ 80 -,-12.969525092978847,democrats,-12.368906568141036
4266,$ 80 sweaters,-12.969525092978847,ungrateful,-12.368962759231163
4267,"$ 80,000",-12.969525092978847,""" want",-12.369168078719014
4268,"$ 80,000 ,",-12.969525092978847,come &,-12.369178559103048
4269,"$ 84,895",-12.969525092978847,tongue,-12.369411801636538
4270,"$ 84,895 pay",-12.969525092978847,stressed,-12.369486918308572
4271,"$ 85,000",-12.969525092978847,exist .,-12.369528490569538
4272,"$ 85,000 small",-12.969525092978847,round .,-12.369535123416863
4273,$ 850,-12.969525092978847,obama,-12.369755980574078
