,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
0,! ! &,-12.969525092978847,.,-7.514919120596027
1,! ! ),-12.969525092978847,",",-7.88066954655156
2,! ! -,-12.969525092978847,"""",-8.040024669976418
3,! ! /,-12.969525092978847,people,-8.324684388967
4,! ! 0.125,-12.969525092978847,?,-8.38811878507215
5,! ! 11,-12.969525092978847,like,-8.562876139168381
6,! ! 3,-12.969525092978847,don't,-8.56878540456949
7,! ! 5,-12.969525092978847,just,-8.612398727078673
8,! ! 5/10,-12.969525092978847,i'm,-8.701046553633786
9,! ! 6,-12.969525092978847,!,-8.725724555334885
10,! ! 8am,-12.969525092978847,it's,-8.952295071489164
11,! ! ;),-12.969525092978847,:,-8.965732329541986
12,! ! absolutely,-12.969525092978847,...,-8.98865900485633
13,! ! agree,-12.969525092978847,know,-9.0082297308597
14,! ! amazing,-12.969525092978847,you're,-9.062113813320419
15,! ! approved,-12.969525092978847,twitter,-9.113167803036669
16,! ! aug,-12.969525092978847,friends,-9.22046075946577
17,! ! awesome,-12.969525092978847,time,-9.292547127452162
18,! ! bambam,-12.969525092978847,u,-9.299775580824022
19,! ! best,-12.969525092978847,really,-9.314409997588164
20,! ! big,-12.969525092978847,think,-9.348212375395939
21,! ! bobwhite,-12.969525092978847,want,-9.352051984082372
22,! ! breaking,-12.969525092978847,😂,-9.353877369374793
23,! ! bring,-12.969525092978847,*,-9.357739041077005
24,! ! c'mon,-12.969525092978847,good,-9.35805867041115
25,! ! catch,-12.969525092978847,shit,-9.371738121472571
26,! ! champ,-12.969525092978847,make,-9.39501300481912
27,! ! chefboyar,-12.969525092978847,can't,-9.423461407685963
28,! ! classics,-12.969525092978847,tweet,-9.432836773790566
29,! ! cod,-12.969525092978847,fuck,-9.50367200445222
30,! ! collection,-12.969525092978847,say,-9.544454988076069
31,! ! comment,-12.969525092978847,need,-9.559478553091285
32,! ! couldn't,-12.969525092978847,lol,-9.576902966007179
33,! ! customer,-12.969525092978847,stop,-9.621616287835979
34,! ! dead,-12.969525092978847,! !,-9.630594881794345
35,! ! didi,-12.969525092978847,person,-9.637532154224132
36,! ! didn't,-12.969525092978847,/,-9.641770686040012
37,! ! dr,-12.969525092978847,hate,-9.656347225075177
38,! ! excited,-12.969525092978847,? ?,-9.67230590575279
39,! ! exciting,-12.969525092978847,),-9.677015016003786
40,! ! eyes,-12.969525092978847,life,-9.681245057600623
41,! ! family,-12.969525092978847,thing,-9.694457249976876
42,! ! fender,-12.969525092978847,y'all,-9.715997837577287
43,! ! finally,-12.969525092978847,-,-9.741861833394658
44,! ! financing,-12.969525092978847,got,-9.742157527859067
45,! ! follow,-12.969525092978847,friend,-9.753175903052998
46,! ! following,-12.969525092978847,fucking,-9.757893865182913
47,! ! god,-12.969525092978847,',-9.769028012571228
48,! ! goodnight,-12.969525092978847,@,-9.771806033575658
49,! ! gorgeous,-12.969525092978847,(,-9.777890364637512
50,! ! guess,-12.969525092978847,feel,-9.814291249662805
51,! ! happy,-12.969525092978847,bad,-9.821884581195075
52,! ! head,-12.969525092978847,going,-9.841372193435472
53,! ! heaps,-12.969525092978847,talk,-9.849833562850087
54,! ! hiii,-12.969525092978847,️,-9.858911261624204
55,! ! home,-12.969525092978847,bitch,-9.858977009880885
56,! ! homeland,-12.969525092978847,tweets,-9.870165449366965
57,! ! hospital,-12.969525092978847,tell,-9.880885185503084
58,! ! house,-12.969525092978847,&,-9.881018300492059
59,! ! i'll,-12.969525092978847,day,-9.897599277791057
60,! ! ig,-12.969525092978847,way,-9.90235225685791
61,! ! intelligence,-12.969525092978847,doesn't,-9.907496184327837
62,! ! isn't,-12.969525092978847,ass,-9.911424603889348
63,! ! it's,-12.969525092978847,gonna,-9.920401601189125
64,! ! know,-12.969525092978847,right,-9.922270311525246
65,! ! kongrats,-12.969525092978847,that's,-9.934610058510442
66,! ! let,-12.969525092978847,ur,-9.945329388051789
67,! ! live,-12.969525092978847,things,-9.967690068803034
68,! ! lol,-12.969525092978847,i've,-9.983400366969082
69,! ! look,-12.969525092978847,new,-9.984195398635741
70,! ! looking,-12.969525092978847,did,-9.993030449465236
71,! ! looks,-12.969525092978847,actually,-10.00404883868877
72,! ! lov,-12.969525092978847,wanna,-10.025626844746405
73,! ! loved,-12.969525092978847,look,-10.040078175240902
74,! ! monday,-12.969525092978847,come,-10.04846712856993
75,! ! money,-12.969525092978847,best,-10.051204220063175
76,! ! need,-12.969525092978847,girl,-10.070864088631602
77,! ! new,-12.969525092978847,they're,-10.072930615937471
78,! ! night,-12.969525092978847,annoying,-10.097397338985745
79,! ! notifs,-12.969525092978847,lmao,-10.108508573976776
80,! ! okay,-12.969525092978847,trying,-10.1217071752822
81,! ! omg,-12.969525092978847,i'll,-10.122277420211805
82,! ! philippenes,-12.969525092978847,does,-10.129378946494908
83,! ! pico,-12.969525092978847,real,-10.132848935571756
84,! ! picture,-12.969525092978847,oh,-10.133860073620214
85,! ! plays,-12.969525092978847,funny,-10.148576609524671
86,! ! police,-12.969525092978847,girls,-10.161112585819097
87,! ! post,-12.969525092978847,dont,-10.161345633976765
88,! ! predictions,-12.969525092978847,im,-10.168894939528366
89,! ! privilege,-12.969525092978847,getting,-10.169207447013601
90,! ! ran,-12.969525092978847,talking,-10.177461847533175
91,! ! recently,-12.969525092978847,work,-10.185978480634969
92,! ! reply,-12.969525092978847,..,-10.186567137485273
93,! ! rips,-12.969525092978847,having,-10.202403403059872
94,! ! rt,-12.969525092978847,nice,-10.217343765543633
95,! ! s5,-12.969525092978847,today,-10.219211696844456
96,! ! said,-12.969525092978847,read,-10.222365319963014
97,! ! seraphs,-12.969525092978847,>,-10.227793177432918
98,! ! sooo,-12.969525092978847,better,-10.235915324416242
99,! ! sorry,-12.969525092978847,cute,-10.23949774279588
100,! ! southern,-12.969525092978847,2,-10.24184074067289
101,! ! sry,-12.969525092978847,lot,-10.250815187250863
102,! ! standing,-12.969525092978847,didn't,-10.252277002335415
103,! ! stop,-12.969525092978847,said,-10.287824067475619
104,! ! stud,-12.969525092978847,mean,-10.288765890018274
105,! ! table,-12.969525092978847,😂 😂,-10.29354872076132
106,! ! taking,-12.969525092978847,sorry,-10.31092018427446
107,! ! talented,-12.969525092978847,guys,-10.319952280175144
108,! ! team,-12.969525092978847,". """,-10.326931813571893
109,! ! test,-12.969525092978847,game,-10.32847142313804
110,! ! thank,-12.969525092978847,god,-10.329457704689991
111,! ! that's,-12.969525092978847,okay,-10.330319406833098
112,! ! they're,-12.969525092978847,‍,-10.331268802172477
113,! ! thing,-12.969525092978847,doing,-10.333119798729378
114,! ! tickets,-12.969525092978847,follow,-10.334992115302978
115,! ! time,-12.969525092978847,there's,-10.340053289664619
116,! ! title,-12.969525092978847,thought,-10.344350939811768
117,! ! today,-12.969525092978847,makes,-10.35036696585563
118,! ! tomorrow,-12.969525092978847,imagine,-10.352492298283424
119,! ! toot,-12.969525092978847,care,-10.358511941705036
120,! ! treat,-12.969525092978847,literally,-10.373126510178468
121,! ! trump's,-12.969525092978847,! ! !,-10.376232071958762
122,! ! turns,-12.969525092978847,hard,-10.381472612300987
123,! ! venom,-12.969525092978847,post,-10.386654543956066
124,! ! way,-12.969525092978847,mad,-10.390154174545245
125,! ! well-painted,-12.969525092978847,ppl,-10.390826721470834
126,! ! went,-12.969525092978847,cool,-10.393243086960386
127,! ! what's,-12.969525092978847,try,-10.397840963369836
128,! ! woman,-12.969525092978847,ask,-10.398079407079724
129,! ! wonderful,-12.969525092978847,damn,-10.400524049656402
130,! ! woo,-12.969525092978847,don't know,-10.400613239702212
131,! ! ya,-12.969525092978847,old,-10.403090885743705
132,! ! yall,-12.969525092978847,🙄,-10.41874439753175
133,! ! yeah,-12.969525092978847,trash,-10.420441335370754
134,! ! yeeehawww,-12.969525092978847,wrong,-10.423275129392872
135,! ! you're,-12.969525092978847,big,-10.425650915720823
136,! ! you've,-12.969525092978847,saying,-10.441140497344676
137,! ! ¿,-12.969525092978847,bc,-10.441695790964841
138,! ! ♥,-12.969525092978847,fun,-10.444087271076217
139,! ! ✊,-12.969525092978847,happy,-10.449446775269033
140,! ! ✨,-12.969525092978847,let,-10.451412942721552
141,! ! ❤,-12.969525092978847,understand,-10.453684197163568
142,! ! ️,-12.969525092978847,dumb,-10.455602766921276
143,! ! 🇺,-12.969525092978847,play,-10.463096231694625
144,! ! 🇿,-12.969525092978847,""" """,-10.476126970443522
145,! ! 🌝,-12.969525092978847,wow,-10.483276461081593
146,! ! 🌟,-12.969525092978847,world,-10.489341644780513
147,! ! 🎀,-12.969525092978847,🤔,-10.489892264686798
148,! ! 🎉,-12.969525092978847,use,-10.489956936232868
149,! ! 🎓,-12.969525092978847,fake,-10.49176884770319
150,! ! 🏆,-12.969525092978847,morning,-10.492398543656636
151,! ! 🏰,-12.969525092978847,. .,-10.492854737985255
152,! ! 🐅,-12.969525092978847,isn't,-10.493829970996039
153,! ! 👨,-12.969525092978847,weird,-10.493899923023374
154,! ! 💀,-12.969525092978847,men,-10.493922726148305
155,! ! 💓,-12.969525092978847,don't like,-10.49575688466357
156,! ! 💕,-12.969525092978847,cause,-10.500391273967285
157,! ! 💖,-12.969525092978847,sure,-10.509670617045032
158,! ! 💗,-12.969525092978847,. don't,-10.510517168230116
159,! ! 💘,-12.969525092978847,favorite,-10.519653219345276
160,! ! 💙,-12.969525092978847,hey,-10.519745562931234
161,! ! 💚,-12.969525092978847,? ? ?,-10.524809363924179
162,! ! 💜,-12.969525092978847,white,-10.525211419279696
163,! ! 💞,-12.969525092978847,point,-10.536768084349795
164,! ! 💪,-12.969525092978847,. it's,-10.537294215837177
165,! ! 🔥,-12.969525092978847,aren't,-10.538134024642051
166,! ! 🔪,-12.969525092978847,great,-10.539549320950385
167,! ! 🖍,-12.969525092978847,stupid,-10.548575189215669
168,! ! 🖤,-12.969525092978847,w,-10.550131494187683
169,! ! 😁,-12.969525092978847,wish,-10.551092188645402
170,! ! 😃,-12.969525092978847,start,-10.554361946124292
171,! ! 😆,-12.969525092978847,face,-10.558359994609834
172,! ! 😇,-12.969525092978847,times,-10.567246139535031
173,! ! 😉,-12.969525092978847,what's,-10.569949671514665
174,! ! 😎,-12.969525092978847,help,-10.573528046295309
175,! ! 😘,-12.969525092978847,believe,-10.576294217248073
176,! ! 😡,-12.969525092978847,", don't",-10.579298056600454
177,! ! 😭,-12.969525092978847,music,-10.579750893324519
178,! ! 😹,-12.969525092978847,probably,-10.580430483814963
179,! ! 🙄,-12.969525092978847,years,-10.582455852110172
180,! ! 🙌,-12.969525092978847,making,-10.584982986558973
181,! ! 🙏,-12.969525092978847,year,-10.593012000442497
182,! ! 🚘,-12.969525092978847,won't,-10.59523168555541
183,! ! 🤓,-12.969525092978847,leave,-10.601041734615077
184,"! "" (",-12.969525092978847,hot,-10.606142700992063
185,"! "" -",-12.969525092978847,ya,-10.614276857778234
186,"! "" :d",-12.969525092978847,looking,-10.61438691048162
187,"! "" booed",-12.969525092978847,♀ ️,-10.614451129811139
188,"! "" boring",-12.969525092978847,♀,-10.614451129811139
189,"! "" can't",-12.969525092978847,‍ ♀ ️,-10.614451129811139
190,"! "" cisgender",-12.969525092978847,‍ ♀,-10.614451129811139
191,"! "" come",-12.969525092978847,ugly,-10.619402861219823
192,"! "" does",-12.969525092978847,social,-10.620394468892934
193,"! "" exols",-12.969525092978847,thread,-10.624047901823737
194,"! "" felt",-12.969525092978847,he's,-10.629564966516286
195,"! "" folks",-12.969525092978847,little,-10.636610839207234
196,"! "" god",-12.969525092978847,kind,-10.63720695133898
197,"! "" got",-12.969525092978847,days,-10.638774243272083
198,"! "" heard",-12.969525092978847,likes,-10.641725998305153
199,"! "" investigation",-12.969525092978847,🤷,-10.643652320979658
200,"! "" just",-12.969525092978847,kids,-10.644732768249463
201,"! "" morning",-12.969525092978847,live,-10.648413627783125
202,"! "" shows",-12.969525092978847,instead,-10.65017029985027
203,"! "" tag",-12.969525092978847,", it's",-10.660545149255496
204,"! "" teaching",-12.969525092978847,", i'm",-10.661985874876297
205,"! "" used",-12.969525092978847,ain't,-10.66404335463119
206,"! "" yeah",-12.969525092978847,tweeting,-10.666137772139837
207,"! "" you've",-12.969525092978847,send,-10.668544302065591
208,"! "" 🙄",-12.969525092978847,guess,-10.669645490844806
209,! $,-12.969525092978847,1,-10.674791874496293
210,! $ sfor,-12.969525092978847,night,-10.680302543243094
211,! &,-12.969525092978847,thanks,-10.69034328241953
212,! & fb,-12.969525092978847,media,-10.69159223685002
213,! & subscribe,-12.969525092978847,boys,-10.695041273152679
214,! & tried,-12.969525092978847,honestly,-10.697665118793692
215,! ' finger,-12.969525092978847,feel like,-10.700904802256751
216,! ' skywalker,-12.969525092978847,wonder,-10.701032116234769
217,! ( ),-12.969525092978847,tl,-10.704175164509564
218,! ( bo3,-12.969525092978847,stuff,-10.705111596505706
219,! ( h,-12.969525092978847,eat,-10.706979217282553
220,! ( missed,-12.969525092978847,listen,-10.707494033807482
221,! ( picture,-12.969525092978847,sleep,-10.708212496129878
222,! ( reps,-12.969525092978847,account,-10.70974909584908
223,! ( sokonglah,-12.969525092978847,tired,-10.71197540514415
224,! ( want,-12.969525092978847,i'd,-10.71377917718147
225,! ( wasn't,-12.969525092978847,thank,-10.72035542519148
226,! ( winner,-12.969525092978847,. i'm,-10.722056642995764
227,! ) !,-12.969525092978847,let's,-10.725174003176505
228,! ) .,-12.969525092978847,phone,-10.726129696464266
229,! ) birthday,-12.969525092978847,gotta,-10.7270954307938
230,! ) days,-12.969525092978847,pretty,-10.727660942322373
231,! ) tomorrow,-12.969525092978847,women,-10.727765090634122
232,! ) weiner,-12.969525092978847,remember,-10.729771698209476
233,! * *,-12.969525092978847,worst,-10.730618231421047
234,"! * .
.",-12.969525092978847,place,-10.730735852329413
235,! * cough,-12.969525092978847,sad,-10.736337576853867
236,! * helewags,-12.969525092978847,gets,-10.739910034729323
237,! * lost,-12.969525092978847,thinking,-10.741650739135924
238,! * valid,-12.969525092978847,attention,-10.742238779347325
239,"! , best",-12.969525092978847,", just",-10.748308570399008
240,"! , can't",-12.969525092978847,you've,-10.748443520843864
241,"! , duckie",-12.969525092978847,fans,-10.749733952268272
242,"! , dying",-12.969525092978847,bitches,-10.75296847304789
243,"! , free",-12.969525092978847,baby,-10.754413299528474
244,"! , he's",-12.969525092978847,😭,-10.756361740227076
245,"! , intellectual",-12.969525092978847,reason,-10.757402962808033
246,"! , reading",-12.969525092978847,seen,-10.759287474787447
247,"! , seasons",-12.969525092978847,", .",-10.767167407894673
248,"! , sleep",-12.969525092978847,week,-10.77014811160598
249,"! , team",-12.969525092978847,🏽,-10.773413096012707
250,"! , wall",-12.969525092978847,opinion,-10.776293479240586
251,! - rt,-12.969525092978847,sub,-10.776632759156108
252,! - team,-12.969525092978847,seeing,-10.777226086385916
253,! - winners,-12.969525092978847,hell,-10.782465900351834
254,! . . .,-12.969525092978847,🏻,-10.785125847195003
255,! . great,-12.969525092978847,tonight,-10.78976809056202
256,! . new,-12.969525092978847,boy,-10.793288307923776
257,! . rendering,-12.969525092978847,3,-10.794443415470663
258,! ..,-12.969525092978847,", ,",-10.79740774590459
259,! .. swing,-12.969525092978847,called,-10.800857248601979
260,! ... got,-12.969525092978847,word,-10.803815983305002
261,! ... nice,-12.969525092978847,far,-10.80385488978014
262,! /,-12.969525092978847,learn,-10.805711673572862
263,! / /,-12.969525092978847,maybe,-10.807650637848647
264,! 0.125,-12.969525092978847,watching,-10.81933461816482
265,! 0.125 ltc,-12.969525092978847,school,-10.820006558868661
266,! 1 .,-12.969525092978847,playing,-10.8229777502193
267,! 1 reunion,-12.969525092978847,block,-10.82396719651
268,! 1 ⃣,-12.969525092978847,people .,-10.824492088000405
269,! 1/10,-12.969525092978847,": """,-10.824669902855504
270,! 1/10 beat,-12.969525092978847,away,-10.825841149592632
271,! 100 total,-12.969525092978847,high,-10.826365722934689
272,! 11,-12.969525092978847,people don't,-10.826911633222842
273,! 130,-12.969525092978847,group,-10.827419988515796
274,! 130 crore,-12.969525092978847,smh,-10.831248971539864
275,! 2018,-12.969525092978847,followers,-10.831830236178925
276,! 2018 platinum,-12.969525092978847,says,-10.83318230924437
277,! 230,-12.969525092978847,@ time,-10.834816965842448
278,! 230 subscribers,-12.969525092978847,heart,-10.835501797677207
279,! 3 ),-12.969525092978847,social media,-10.837122158691516
280,! 3 -,-12.969525092978847,she's,-10.84026761990628
281,! 3 winners,-12.969525092978847,%,-10.840663186089806
282,! 4,-12.969525092978847,mind,-10.851003147725672
283,! 4 home,-12.969525092978847,we're,-10.851209002926648
284,! 40,-12.969525092978847,fine,-10.852646691242079
285,! 40 yrs,-12.969525092978847,crazy,-10.854653649216191
286,! 5,-12.969525092978847,sucks,-10.85577857589844
287,! 5 .,-12.969525092978847,hit,-10.859137999614413
288,! 5 amazing,-12.969525092978847,👀,-10.860665327407975
289,! 5 awesome,-12.969525092978847,feeling,-10.861584539457375
290,! 5 beautiful,-12.969525092978847,words,-10.863396582791431
291,! 5/10,-12.969525092978847,wait,-10.864566743740808
292,! 5/10 /,-12.969525092978847,watch,-10.866749726719895
293,! 6,-12.969525092978847,joke,-10.877472517869545
294,! 6 original,-12.969525092978847,;,-10.878981430596966
295,! 60,-12.969525092978847,anymore,-10.87899262023937
296,! 60 %,-12.969525092978847,idk,-10.883422634527456
297,! 735,-12.969525092978847,games,-10.883871072763187
298,! 735 e,-12.969525092978847,. just,-10.885875444108054
299,! 7:30,-12.969525092978847,fact,-10.885890966627896
300,! 7:30 pm,-12.969525092978847,question,-10.887974565409264
301,! 8am,-12.969525092978847,tho,-10.889968231621555
302,! 8am -,-12.969525092978847,niggas,-10.892678795114556
303,! : -,-12.969525092978847,used,-10.896284764525468
304,! : baskets,-12.969525092978847,die,-10.898351023004613
305,! : don't,-12.969525092978847,act,-10.899392213139594
306,! : great,-12.969525092978847,calling,-10.90039604661773
307,! : jihyo,-12.969525092978847,coming,-10.903280738405524
308,! : o,-12.969525092978847,true,-10.910050683186544
309,! :( !,-12.969525092978847,amazing,-10.910594748102591
310,! :( (,-12.969525092978847,relationship,-10.911970471127317
311,! ;,-12.969525092978847,* *,-10.913291543084402
312,! ;) u,-12.969525092978847,tweet .,-10.914054105191738
313,! <3,-12.969525092978847,yeah,-10.914182068918246
314,! > wait,-12.969525092978847,class,-10.91522031962251
315,! ? (,-12.969525092978847,shitty,-10.916346573815705
316,! ? ),-12.969525092978847,end,-10.920250386548002
317,! ? comment,-12.969525092978847,yes,-10.926849079521851
318,! ? fellow,-12.969525092978847,straight,-10.926949792887367
319,! ? i'll,-12.969525092978847,twitter .,-10.93217166918945
320,! ? i'm,-12.969525092978847,taking,-10.936006878139542
321,! ? know,-12.969525092978847,business,-10.936814748983616
322,! ? later,-12.969525092978847,2018,-10.939098518213907
323,! ? seriously,-12.969525092978847,<,-10.939799711721173
324,! ? stay,-12.969525092978847,truly,-10.941018377239963
325,! ? 😁,-12.969525092978847,meme,-10.942973502018994
326,! ? 😂,-12.969525092978847,different,-10.944948147322915
327,! ? 😭,-12.969525092978847,feelings,-10.946759716879328
328,! ? 🤦,-12.969525092978847,stand,-10.948241039640381
329,! \,-12.969525092978847,text,-10.949732213295512
330,! \ (,-12.969525092978847,i'm gonna,-10.949882800687494
331,! \ o,-12.969525092978847,lost,-10.950157016649918
332,! absolutely,-12.969525092978847,", """,-10.952599238766245
333,! absolutely !,-12.969525092978847,money,-10.952756722120967
334,"! absolutely ,",-12.969525092978847,don't want,-10.955067316757766
335,! absolutely beautiful,-12.969525092978847,wants,-10.960648319001162
336,! absolutely disgraceful,-12.969525092978847,break,-10.960900138372649
337,! absolutely sympathy,-12.969525092978847,story,-10.96303117542427
338,! access,-12.969525092978847,hear,-10.966855474661534
339,! access unseen,-12.969525092978847,4,-10.96927271810991
340,! actual,-12.969525092978847,people just,-10.976970622677053
341,! actual artwork,-12.969525092978847,shut,-10.977618729958506
342,! actually,-12.969525092978847,fan,-10.980175151440665
343,! actually smiles,-12.969525092978847,date,-10.982155979469475
344,! add,-12.969525092978847,5,-10.982579682259253
345,! add buffalo,-12.969525092978847,told,-10.982633804203806
346,! add join,-12.969525092978847,book,-10.983494944587097
347,! add selfie,-12.969525092978847,team,-10.985617188913317
348,! administering,-12.969525092978847,instagram,-10.987214906052872
349,! administering verbal,-12.969525092978847,🙃,-10.987257047033479
350,! advisory,-12.969525092978847,:),-10.990108403893725
351,! advisory equity,-12.969525092978847,job,-10.992624481378234
352,! agree,-12.969525092978847,—,-11.000763711048927
353,! agree !,-12.969525092978847,important,-11.0029641985395
354,! alas,-12.969525092978847,telling,-11.00483837844629
355,"! alas ,",-12.969525092978847,single,-11.006164625372897
356,! allowed,-12.969525092978847,hate people,-11.00656987364505
357,! allowed free,-12.969525092978847,matter,-11.01261902945537
358,! allowed talk,-12.969525092978847,home,-11.014053127393218
359,! amazing,-12.969525092978847,opinions,-11.014311092778023
360,! amazing artists,-12.969525092978847,asking,-11.014627485880379
361,! amazing day,-12.969525092978847,internet,-11.014717670629837
362,! announcing,-12.969525092978847,left,-11.016189650963799
363,! announcing raffle,-12.969525092978847,forget,-11.02286072784847
364,! anxiously,-12.969525092978847,feels,-11.023702408703002
365,! anxiously awaiting,-12.969525092978847,who's,-11.024685711004905
366,"! apparently 1,378",-12.969525092978847,constantly,-11.024849681694278
367,! applications,-12.969525092978847,goes,-11.025059698744922
368,"! applications ,",-12.969525092978847,> >,-11.027002507214025
369,! appreciate,-12.969525092978847,haven't,-11.028018090984439
370,! appreciate ❤,-12.969525092978847,suck,-11.029359132559764
371,! approved,-12.969525092978847,unfollow,-11.033271631788498
372,! approved surgery,-12.969525092978847,rude,-11.03425655803141
373,! archeological,-12.969525092978847,"like """,-11.035008319524787
374,! archeological pun,-12.969525092978847,saw,-11.040202053708137
375,! aren't offered,-12.969525092978847,movie,-11.04031040474551
376,! ask,-12.969525092978847,dude,-11.042010880731345
377,! atheists,-12.969525092978847,needs,-11.043958303863029
378,! atheists mission,-12.969525092978847,retweet,-11.044625254034147
379,! athletes hospital,-12.969525092978847,hi,-11.045021388862509
380,! atmosphere,-12.969525092978847,beautiful,-11.045061740627988
381,! atmosphere horror,-12.969525092978847,hair,-11.04892984914553
382,! audience,-12.969525092978847,giving,-11.051327608171194
383,! audience on-topic,-12.969525092978847,wear,-11.053869273012857
384,! aug,-12.969525092978847,somebody,-11.054078503325988
385,! aug 2016,-12.969525092978847,idea,-11.056033111941069
386,! awesome,-12.969525092978847,"like ,",-11.056891534953381
387,! awesome mentioned,-12.969525092978847,following,-11.058640591868224
388,! awesome permission,-12.969525092978847,thinks,-11.058684551958617
389,! awesome shows,-12.969525092978847,i'm just,-11.059148434336077
390,! awesome team,-12.969525092978847,black,-11.060103082567222
391,! b,-12.969525092978847,comes,-11.060999750758285
392,! b .,-12.969525092978847,everybody,-11.061595008219218
393,! bad news,-12.969525092978847,support,-11.06338179818092
394,! bambam,-12.969525092978847,takes,-11.06403390644203
395,! bambam black,-12.969525092978847,🤣,-11.065163407137451
396,! basically,-12.969525092978847,👏,-11.065531636052302
397,! basically means,-12.969525092978847,past,-11.066998036510237
398,! bathtub,-12.969525092978847,mood,-11.067862222192954
399,! bathtub damsel,-12.969525092978847,looks,-11.068633967518737
400,! batla,-12.969525092978847,reply,-11.069149291522494
401,! batla jaiva,-12.969525092978847,dog,-11.074468443707033
402,! bearcats,-12.969525092978847,agree,-11.075917211407251
403,! bearcats !,-12.969525092978847,trust,-11.081415865079855
404,! bears,-12.969525092978847,wild,-11.082107087402427
405,! bears &,-12.969525092978847,meet,-11.082282655839737
406,! beautiful,-12.969525092978847,tfw,-11.083828119715967
407,! beautiful truss,-12.969525092978847,ones,-11.084431336613871
408,! beers,-12.969525092978847,pictures,-11.085379197927107
409,! beers !,-12.969525092978847,lmaooo,-11.085512032000608
410,! best answer,-12.969525092978847,working,-11.086126077309615
411,! best date,-12.969525092978847,problem,-11.088629017158787
412,! bet,-12.969525092978847,online,-11.089101812049353
413,! better,-12.969525092978847,character,-11.089800987287775
414,! better things,-12.969525092978847,. like,-11.090542205125143
415,! bid,-12.969525092978847,ready,-11.09143042880074
416,! bid incredible,-12.969525092978847,means,-11.092987915750225
417,! big,-12.969525092978847,apparently,-11.098870666058263
418,! big beauty,-12.969525092978847,", you're",-11.099445185385695
419,! big things,-12.969525092978847,grow,-11.101788201978398
420,! biggest,-12.969525092978847,s,-11.102268704943809
421,! biggest upset,-12.969525092978847,type,-11.105476525584251
422,! bitch,-12.969525092978847,house,-11.106616144529474
423,"! bitch """,-12.969525092978847,"! """,-11.10794208338808
424,! bloody,-12.969525092978847,asked,-11.11337095093914
425,! bloody disgusting,-12.969525092978847,met,-11.116959265555886
426,! blu-ray,-12.969525092978847,"? """,-11.118006027115111
427,! blu-ray &,-12.969525092978847,boring,-11.11827620931868
428,! blue,-12.969525092978847,fools,-11.119065918983019
429,! blue steel,-12.969525092978847,"say """,-11.119750268622036
430,! bobwhite,-12.969525092978847,timeline,-11.121735654947802
431,! bobwhite quail,-12.969525092978847,drama,-11.121866275675389
432,! bock,-12.969525092978847,accounts,-11.12300196775115
433,! bock kingsolver,-12.969525092978847,especially,-11.124167602783638
434,! boy,-12.969525092978847,? !,-11.125233337335967
435,! boy got,-12.969525092978847,yo,-11.125338954955991
436,! breaking,-12.969525092978847,10,-11.125480181299261
437,! breaking red,-12.969525092978847,bro,-11.125573538176468
438,! bridge,-12.969525092978847,shit .,-11.127455552311586
439,! bridge photos,-12.969525092978847,super,-11.129216461254876
440,! brilliant,-12.969525092978847,ex,-11.129373635905594
441,! brilliant news,-12.969525092978847,jokes,-11.130395483714818
442,! bring,-12.969525092978847,hoe,-11.131172752385199
443,! bring book,-12.969525092978847,run,-11.131433595521626
444,! bring extra,-12.969525092978847,ago,-11.132084158742352
445,! bring federal,-12.969525092978847,🏼,-11.137357821829184
446,! brotha,-12.969525092978847,blocked,-11.137469945708336
447,! bulking,-12.969525092978847,respect,-11.13757463261839
448,! bulking 200,-12.969525092978847,food,-11.137576695612271
449,! c u,-12.969525092978847,dead,-11.138973117006756
450,! c'mon,-12.969525092978847,worse,-11.138993729690393
451,! c'mon girl,-12.969525092978847,stay,-11.139121984164086
452,! cactus,-12.969525092978847,realize,-11.141528874599176
453,! cactus follow,-12.969525092978847,pay,-11.147873910881708
454,! cair,-12.969525092978847,folks,-11.151121708244476
455,! cair fakes,-12.969525092978847,reminder,-11.153504718601603
456,! cair pushes,-12.969525092978847,🏻 ‍,-11.154767535768052
457,! can't believe,-12.969525092978847,❤,-11.154884541631349
458,! can't imagine,-12.969525092978847,don't care,-11.15575405656695
459,! can't stop,-12.969525092978847,certain,-11.157049034072005
460,! can't watch,-12.969525092978847,happen,-11.158225639111402
461,! candidates,-12.969525092978847,self,-11.158855970524122
462,! candidates choose,-12.969525092978847,argument,-11.159275335179544
463,! career,-12.969525092978847,content,-11.159673230982367
464,! career criminal,-12.969525092978847,just don't,-11.168207664280553
465,! career killer,-12.969525092978847,woman,-11.168560466593993
466,! catch,-12.969525092978847,personal,-11.171332133813518
467,! catch 8,-12.969525092978847,time .,-11.174319152414302
468,! catch :,-12.969525092978847,wtf,-11.177701145850511
469,! catch campus,-12.969525092978847,oomf,-11.177710175475909
470,! cc,-12.969525092978847,sex,-11.178465193587916
471,! cc :,-12.969525092978847,yall,-11.178524327386524
472,! ceeto,-12.969525092978847,rt,-11.178649694378368
473,! ceeto night,-12.969525092978847,like .,-11.178955062562856
474,! celebrating,-12.969525092978847,snapchat,-11.17966369780498
475,! celebrating champagne,-12.969525092978847,change,-11.182870268966962
476,! challenged,-12.969525092978847,reading,-11.184092423677331
