,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,Laurenn_phillip,@BrendanJasinski Don’t subtweet me plz and thanks ur just angry we have a cool lighter collection,959210183644807168,BrendanJasinski,I️ have to be stingy with you lighter thieves,959209697860571137
1,rebelliousDB,@JessCurran_ Subtle subtweet. Well played.,959206643698302977,JessCurran_,How is it almost Valentine’s Day again!?,959205678895321089
2,narichardson00,@rjdurocher24 @thereal_joel1 I caught the subtweet dw,959206576568532994,rjdurocher24,No one ask me to do anything that costs money till after Aug. 14th,959185785063919616
3,deckdeddy,@Tasteikemoney you wont go back and forth but you’ll quickly make a subtweet. alright pussy 🤪,959205758721318918,Tasteikemoney,One thing I'm not about to do is go back and forth with a bitch on Twitter I will never see in person,959205190950891520
4,JHamilton_,@_kaylaliese Don’t subtweet me. Pull up.,959205412586250240,_kaylaliese,"I get atleast 1 text a day telling me that my brother looks like Luka Sabbat . I know world , I know .",958913544736698368
5,ultraslice,"@TagetesLucidas @sadbukharin it’s pathetic, and then former mutuals will subtweet me behind a block",959203408229142528,TagetesLucidas,"I lost some followers and seem to be following less people so I'm guessing I got blocked, wonder what it I did.",959195879273058304
6,DVonTurtleneck,@brittwastaken Thanks for the subtweet 😏,959200335255560192,brittwastaken,Some of you seem like the type that would kidnap someone and then want to cuddle before the murder.,959200112701595648
7,ChristinaLynJ,@gabbylagunas This was a subtweet for me wasn't it,959196163919564806,gabbylagunas,"if you haven’t seen balto, spirit, or lion king 2, please do NOT speak to me",959130363921600519
8,JoshJinright,@harls_tweets So wish I knew who you were talking about so I could subtweet,959193941986947072,harls_tweets,I bet it’s exhausting to be that negative and bitter 24/7 😂,959171211686285313
9,prodbyrab,@WOADIEKEN Don't subtweet me lol,959193546644271104,WOADIEKEN,I hate when people say that they are 100% sober but they still smoke a cigarette every five minutes like cmon na,959076609109106688
10,MarisaKabas,@dianelyssa i accept this subtweet,959191301647491073,dianelyssa,What hurts the most is when the people you thought you could trust end up telling you they don’t like your favorite show.,959191091860951041
11,PapiBlancaB,"@STEPHENincaps Don’t subtweet me, hubby 😘",959189078192291840,STEPHENincaps,My “future wife” got ahold of me the other day but hasn’t really said anything since. How’s this thing work again?,959174192586526721
12,jarrettsleeper,@MikeFalzone Wow subtweet me some more,959187865677672449,MikeFalzone,No movie will ever be scarier than how dumb some people are in real life.,959186870084108288
13,TheMostBrewed,@nuclear94 Is this how you subtweet?,959185811173408769,nuclear94,Subtweet to the audience: Stop asking questions.,959181758855073792
14,jenniferlstill,@kadeengriffiths Is this an OUAT subtweet or....,959184357348073472,kadeengriffiths,hot take: your fave tv show either dies after two seasons or lives long enough to become problematic,959145508005494784
