,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,CioffiBreak,@anniiikkkkaaa subtweet to @ilovecioffi,948342978766168064,anniiikkkkaaa,"if only you'd hold me, and I wasn't one billion miles away",948062711287631872
1,_samruby,@KieranHayward0 subtweet,948342764638531584,KieranHayward0,People that have Instagram but don’t post anything 🤔 &lt;&lt;&lt;,948064206557011969
2,Shorester,@techagent wow clear subtweet me! I am truly blessed,948341818353180672,techagent,i do not deserve such amazing followers.,948341214566236161
3,VentiiLatte,@Ponde_Msp subtweet-ception,948340203948830720,Ponde_Msp,"I'm Sub-tweeting, About someone sub-tweeting about a sub-tweet.",948339695133646849
4,pintsizedniall,@rodolfhoee No that's your tactic ... to hope he sees the subtweet but men are oblivious™ so,948338133304860673,rodolfhoee,How do I tell a friend he’s being a flaky cunt for the millionth time without sounding mean,948294537419657216
5,KarstenKinstler,"@GentlemanRascal Dude, if you are gonna subtweet me at least get my gender right. 😞",948337929872699398,GentlemanRascal,"Man, her paranoid delusions have cranked up another notch. She needs help.",948337448966377473
6,chton,@artistic_chaos Please write my handle correctly next time you want to subtweet me.,948332680063737861,artistic_chaos,"Fuck C'thun, that's all I'm saying.",948332479387131904
7,NicholasMMiller,@reillymaggie Savage subtweet 😳😂,948332315347996672,reillymaggie,"#RealisticResolution - try my best not to reply ""you too!"" when airport security tells me to have a nice flight",948330381895503873
8,dvhoef,@WhiteSchrute is this a subtweet,948332091086749696,WhiteSchrute,You really think you know somebody until you see them listening to reputation by Taylor Swift on Spotify,948224339911909376
9,xTry__,@1_Awesome0609 When u subtweet urself @Citrs2k @__ToneTone @ThisWhiteBoyy_,948330519552552960,1_Awesome0609,The shit people say Man smh,948329948279910400
10,Arwaa601,@derya2o 😂😂 ok I know your talking about me no need to subtweet 🙄,948327840025518080,derya2o,if i text you at 10:30 i expect a reply by 10:29.,948311258725429248
11,Oda_CM,@commiesona This is a Bray Wyatt subtweet?,948325896913543169,commiesona,"imagine in 2018 that your wrestler gimmick is that you lose every fucking time

and somehow, it works",948322361237008385
12,Omnithea,@jenniebreeden Don't subtweet me.,948325232028409856,jenniebreeden,The Internet isn’t all about you.,948299826789306370
13,AldoRaineFNB,@Down_To_Stars Damn Q getting me w/ with the DEEP subtweet,948325000217550848,Down_To_Stars,White people don't seem to be able to take anything in moderation. Yall do the absolute most 100% of the time.,948322771804684288
14,MyNameIsntGyna,@MichaelJordyn is this a subtweet can you elaborate i have fomo,948323225024413696,MichaelJordyn,So many weird brags from these girls “I’m used to being the only pursued so this will be a change”,948001491985555456
15,SidebarsEureka,"@Graemdyne dont dare subtweet me, devil.",948319872856997888,Graemdyne,A fat lizard just friended me...,948319192234840066
16,SWAGCONSULTANT,"@FredSmackHeeeem Nah they don’t. They just quote country songs, tweet about how much they love Post Malone, subtweet shade at each other.",948318006366662658,FredSmackHeeeem,I wonder if white twitter discusses the same issues as black twitter sometimes...,948254873258266624
17,tmonk07,@katelynpaigee_ Idk why you had to subtweet us,948316755306393602,katelynpaigee_,"one question, when a bunch of guys all play video games at the same house WHERE DO ALL THE TV’s COME FROM????",948266244117094400
18,unameerican,@SiamMusa Bitch did u subtweet me,948307516110397440,SiamMusa,YOU “2018 already ain’t my year 2019 where you at” really are some bofoons,948116556936032256
19,GUDoug,@RogueArtificer psssft nice subtweet.,948307165638471681,RogueArtificer,Damnit uvula. You need to get your shit together.,948305289433956352
20,pintsizedniall,@rodolfhoee Hope he sees the subtweet,948305491578548224,rodolfhoee,How do I tell a friend he’s being a flaky cunt for the millionth time without sounding mean,948294537419657216
21,JacobSA09,@drybones_5 Is one of those circles the subtweet community? Does every missed subtweet fill you with rage? Is that… https://t.co/t9G1uod7Ra,948305456065384448,drybones_5,"I unironically hate large circles of people on here

But I'll never tell you which

May swift death find them",948265576698449921
22,_Kasodus,@_IcyTea wow epic subtweet bro,948301342216372224,_IcyTea,"""Shush the heck your mouth or I'll end your career!""

Says the sneaky Siren, who then runs back into her charted territory.",948301037974310912
23,ChiProg,@RyneIsMean Don’t subtweet me.,948299088080068609,RyneIsMean,The most annoying thing about Camilla is that she thinks she's a Disney Princess when in reality she is the bat from Anastasia,948256777216364544
24,TrueNugget,@drybones_5 This is a subtweet,948297260093222912,drybones_5,imagine being 15-18 fucking years old and thinking your life is sad and miserable and you haven't even tasted it yet,948295607973744640
25,Glennfinito,@Gravevixen can't believe the plate would subtweet you about marx,948294524421459968,Gravevixen,Relationship status: slept next to an empty plate I had tacos on,948294031531888640
26,laurenhaynes7,@bpalbrecht13 I know @Wieland_FSU can be a bit much but it seems so petty to subtweet him Bailey!,948293977488412672,bpalbrecht13,Just had an 11 year old post up in my office and dump their Legos all over the floor. Welcome back to work everyone!,948204891595509761
27,tuotolA,@GhanaianJoan @Uncle_Drew94 Oh abi i now I know. From now on every subtweet is a World Cup final. We no play at all… https://t.co/ic5ot3MaWF,948289127853756416,GhanaianJoan,I want really long nails and I wanna claw your eyes out with them 🙂.,948200102639882240
28,antrobus15,@jrering Did you just subtweet @DanBilzerian lol,948285582521913350,jrering,Tired of people with money acting like money isn't everything,948269780435423233
29,KekanaRj,@Naaps_nxumalo 😂😂😂 i know a subtweet when i see one😂😂. https://t.co/iPEidFWXxX,948284131502428160,Naaps_nxumalo,You're dating men who put they're middle fingers up in pictures and wonder why your life is a mess,948277159398961152
30,_spyrothadragon,@d_socha This better not be a subtweet about us,948277501566087169,d_socha,Can we leave people who still flex smoking weed in 2017.,948267726136541185
31,corymikesmith,@bridgetsrgan subtweet me harder😡😫,948277146799058944,bridgetsrgan,god yall really will stan any white male that breathes,948276571504291840
32,BadDragonBoners,@jgllt Is this a subtweet,948267964469530624,jgllt,hairy scalies are gods gift to me,948267074186510339
33,MattSkater4Life,@bubba_manville Kyle skater subtweet 🤔,948267167664939008,bubba_manville,Some people are never gonna learn how to grow up,947966934796169216
34,morgan30203826,@sophia_thesnail It is the year 2018 and I still cackle in glee from a good subtweet,948263533195640833,sophia_thesnail,The year is 2018 and cody edgerly has still not removed his stupid fridge from my shed,948241115395837957
35,ShadowSandrock,@BarstoolBigCat Is this a brutal subtweet at Georgia's hold back coach for their hold back coach?,948261882409787392,BarstoolBigCat,Really sad when you're trying to better yourself and your friends selfishly try to hold you back. Not naming names. #SHEEEESH,948244066839531520
36,MGGBZ,@PepenadorAVC Don’t subtweet me,948257234693312513,PepenadorAVC,I love ppl who will not stop fb messaging you until you mute/ignore them.,948216741229932544
37,QuadShookie,@MadOnTheNet a subtweet is still a subtweet fag https://t.co/R12LYOisZX,948254403395555329,MadOnTheNet,there's something really retarded about my friends,948253393323094018
38,AndrewFlaxTNB,@Jessica_Whitney i know for a fact this is a subtweet of me,948252313533210625,Jessica_Whitney,Hahahhaha omg guys you won’t believe it but Los Angeles is so warm! Hahahah!,948251710551572480
39,DSDemeritte,@KimKayaKhianKor But for you to subtweet me for texting you before I forget. I canceling this attitude.,948250146659291136,KimKayaKhianKor,Why do people call and message me before 1pm or work days?,948243258462883840
40,AmyMc02,@Bummmie Please don’t subtweet me.,948250123271917569,Bummmie,When I’m sitting in a stall tweeting at work there’s nothing I love more than  listening to guys rip Ass while they use the urinal,948248390340632580
41,wallachianoyoru,@KllHYUK another tweet for the subtweet folder,948244163451072514,KllHYUK,naz stop putting cursed content on my time line im lchoking,948240975645822976
42,_N_i_x_11,"@ItalianOranges @_Cykocurt_ I literally said ""subtweet"" with zero malice. Bye.",948243936186896386,ItalianOranges,Whole lotta people that need to look up the word gentrification this morning.,948219642941763584
43,bigdoinkmaster,@jakobjaeger25 Don't you fuckin dare subtweet me jake,948238647547088896,jakobjaeger25,Little late request but can we leave 16 year old vape addicts in 2017,948018733850746880
44,mad2034,@EmilyGould subtweet,948238447138963456,EmilyGould,I wonder what the Five Hate Languages are,948232691035594757
45,cavind3r,@AnthonyGhazel Best subtweet 2k18,948232488987627521,AnthonyGhazel,What do you expect out of a guy who once picked up a camera and thought: “I bet everyone wants to hear what I have to say”,948231661417668608
46,MrPatriarch12,@TheFoxEmoji Millennial woes subtweet,948230786322493443,TheFoxEmoji,i used to be gay (heteroflexible) but i was cured with the power of self-control and free will. thanks jesus,948223467824013312
47,gina_maira15,@dillonbennett_9 But I guess you already know what status I was talking about anyone since you knew the subtweet was about you,948229902540603392,dillonbennett_9,"If you don’t say anything bad about a race, or group, how you judging?",948207120729673728
48,lolSabii,@Frostyisdeft ? If ur gonna subtweet me just at me idiot,948229754284634114,Frostyisdeft,how xD can u XD be so XD bad XD AT JANNA XDDddd,948229650488135680
49,kenmedel,@DELARsopretty subtweet queen,948224559831859200,DELARsopretty,"Sick of toxic people, pagod na ako hahahaha",948224449743949824
50,_N_i_x_11,"@ItalianOranges @_Cykocurt_ couldn't care less if you subtweet. When you say sure is like that tho to my @ reply, looks like it's @ me js",948223937359548418,ItalianOranges,Whole lotta people that need to look up the word gentrification this morning.,948219642941763584
51,_N_i_x_11,"@ItalianOranges ""subtweet""",948221093332094977,ItalianOranges,Whole lotta people that need to look up the word gentrification this morning.,948219642941763584
52,KayaCh13,@AsfiaMehmood A subtweet for kainat ! IKR!,948212290180001792,AsfiaMehmood,You deserve someone who actually gives a damn about you,948210832466436096
53,TeamPolo_Maleak,@Justb1008 It’s 2018 nobody subtweet !!,948211519011151873,Justb1008,Lmao why is the polo boys in my mentions with that foolery 🤣 it’s 2018 nobody care who follow who 😜,948211093981270021
54,spencerdjblake,"@ThatFishCreigh James, that was sarcasm plz don't subtweet me",948205768079130626,ThatFishCreigh,Can't wait to see everyone pat Dorion on the back if he moves some of the dross he gave contracts to,948205602018390021
55,Rooted_Soul,@psychoticzombi should i consider it a subtweet?,948203025264463872,psychoticzombi,"If you buy a""poetry book""I pity you from the deepest part of my heart that I dun even know about. Yes,that's how much I pity your existence.",948201460336070657
56,Kevza1,@Kerry_Contrary @leahjazzjokes there is a subtweet somewhere in here,948198078728888320,leahjazzjokes,I bumped into my ex last night and it took a year but I can honestly say I'm over him. His moustache is terrible.,947834741696364544
57,zawddy,@grungesymphony y r u subtweet me,948197328447594497,grungesymphony,plz keep ur negative vibes away from me because im doing super good and i want to keep it that way xoxo,947963964637429761
58,Neon_woof,@MiniBossMascots Is this a subtweet,948196620960747520,MiniBossMascots,Logan Paul is in my top 2 LEAST favorite Logans list,948085601986850818
59,fourfoot,"@tim2040 To be honest, I thought it could be me because boy did I cop some subtweet heat over the weekend....",948193989290754049,tim2040,"SUBTWEET

Shut up, Paul.",948192018425053185
60,suck0my0luck0,@amour72mg subtweet 🤦🏻‍♂️🙄😂😂😂,948178901087412225,amour72mg,"If your girl can pin you down, better get your ass to the gym",947878640955592704
61,yoVictorrr,"@NotoriousBPE Wow, next time say it to my face, don’t gotta subtweet",948177550290776064,NotoriousBPE,"I love all of y'all, but none of y'all are keepers",948039815894888449
62,rehaug,@Radamal I know who this subtweet is about :-),948175676074586113,Radamal,I will not reward your gratuitous pregnancy pictures with likes,948042371501121536
63,Joe_P_Rs,@25thswag How about only one person is allowed to subtweet me each day. You’d all struggle for likes then!,948173474262081536,25thswag,I get the whole everyone should have 240 characters for tweets and that's fine and all. But how about Joe P only gets 240 characters a day.,948173118098386944
64,anatalizio0523,@marjieros @PANYNJ_LT Use the correct acronym if you're gonna subtweet,948172720977731584,PANYNJ_LT,The Exclusive Bus Lane (XBL) to NY is experiencing a delay of 10 minutes due to delineator replacement. [16],948170524592562176
65,graysruin,@mendesftcarla @eringormann @urrwastedcryinq that’s why it’s called a subtweet. don’t subtweet us and expect us not… https://t.co/It7NYBBIdd,948171228153565184,mendesftcarla,i’m so happy i’m out of that gc and when the real reason is because of that dumb snake decided to block me😻😻,948149810539794432
66,spoomyhole,@NotStardy did you just subtweet the weather,948168397984067584,NotStardy,"Oh I guess a storm is hitting us today, nice. Good way to start the year.",948167711628120064
67,PoopSteveYT,@guccibaby666 pls do not subtweet my very sweet friend she is very nice,948164863435481096,guccibaby666,anyone with an anime profile pic isnt allowed an opinion on the internet im so sorry its the rules,948164642878119938
68,graysruin,@mendesftcarla @urrwastedcryinq but u did subtweet?,948164163859251200,mendesftcarla,i’m so happy i’m out of that gc and when the real reason is because of that dumb snake decided to block me😻😻,948149810539794432
69,cIiffboyz,"@baldminho subtweet taemin like this, why don't you",948162968033943552,baldminho,Unless you put mustard on your pop tarts you aren’t a real shawol 😩👌🏾⛽️,948084941660872704
70,PinkUnicorn1115,@ionlikeu Dont subtweet me... My life is LIT i watch THE OFFICE https://t.co/AJCoQXRjnB,948159020711448576,ionlikeu,My cousin sleeping on Roseanne smh... that’s y her life boring now,948158722949468165
71,KoP_Gremlin,"@RandaliciousRS cmon, dont subtweet @footlocker",948159003615358977,RandaliciousRS,Alt trading is not reasonable for 200m rc,948154782539231233
72,beetle001,@Kerry_Contrary Thanks for the subtweet!,948149162087923712,Kerry_Contrary,"Congratulations on your personality, brains and face.",948120863110586368
73,kat__perez,@RayGee2330 this was a subtweet,948147021545795584,RayGee2330,I’m already stressing out in 2019,947793125614821376
74,Chyriza,@nateuerlich Hey mieser subtweet &gt;:(,948137672727584769,nateuerlich,"Wen juckt es dass du Leuten entfolgst man
Wer bist du schon",948137459224899584
75,Vexeff,@HeylookitsJohn I can sense the subtweet,948136255283499008,HeylookitsJohn,Streaks where you only send black screens or just random pictures aren't real streaks.,948079264703840256
76,jodialbassami2,@GraysonDolan Oh my god the subtweet!!!!!,948133304825413633,GraysonDolan,You’re 22 there’s no excuse,948063064213073921
77,actualfuckwit,@maeghankennedy Don't subtweet me like that,948131203692969984,maeghankennedy,God its 5am how is anyone still drinkinggggggg,947528986346659840
78,WhatsAnAirport,@I_Love_Shanna Fuck you don't subtweet me.,948126934504009730,I_Love_Shanna,I just joined a voice call only to hear two people reading a damn daniel fanfiction at 4 am,948125729149018112
79,sug_knight,"@BringDaNoyz Also if your name is Xploding unicorn and you make up stuff your kids said you’re also not funny, this is a subtweet",948120151316078592,BringDaNoyz,"Let's yell it for the folks in the back: 

IF YOUR ONLY MATERIAL IS MAKING FUN OF YOUR WIFE AND HOW ANNOYING SHE IS, YOU'RE NOT FUNNY.",912144318453944320
80,HealthandHubris,@SweatyAnimeMom @LoganPaul brutal subtweet,948117550709334017,LoganPaul,"1st pg. of How To Be A Gentlemen-""Even if he lives alone, a gentleman never drinks milk directly from the container""... well, I'm done here",224616420649078784
81,MENAGfCrusade,@Sicilian_FRx No need to subtweet marty smh,948116316493201408,Sicilian_FRx,People on my tl need to calm down tonight,948116103611469824
82,THRXSHERGRANT,@TILLERSGRXNT she blocked me bc i subtweet her 25/8 i actually have no idea why she blocked me ?,948113484746813440,tillersgrxnt,I literally asked a question about one of blanks hundred drawings and she said I was bullying okay... -_-,948104404300857345
83,BEAUTYCHlCKEE,@sydnieavery i love a good subtweet,948101099881484288,sydnieavery,clout queens can go to hell,948095062956589057
84,gromreaper,@HeyThatsMyLeg I've asked you not to subtweet me. The reason I ask is for the Tinder profile in this fanfic I'm writing,948098533260910599,HeyThatsMyLeg,Mmmm love it when people ask me how much I weigh. It kicks ass and isn’t rude at all,948097310516375552
85,Cuffle_,@Climaxity you wait till hes asleep to subtweet him hoping he doesnt see it... i like this strategy but its funnier when he does see it,948091876556623872,Climaxity,how many times do i have to tell someone in dubs to run away. JFC or even get my trades smh. see this is why i play variant now,948086419020398597
86,sashaperlraver,@AmyKinLA How dare you subtweet me like this?,948091262338457601,AmyKinLA,You can't be both a mom and a bitch!!!!!! #TheBachelor,948071057059020800
