,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
72,ATLANTICBAILEY,@EthanDolan @dolansbubbleee We love a good subtweet,969178774972567552,EthanDolan,Baby I'm just being honest...,644322141962305536
73,macchiataeee,@sebskeery is this the part of our au where we subtweet each other?,969171800176422912,sebskeery,i'm so tired of being underestimated and misjudged,969171433501941760
74,Fat_Bully,@FattyDragonite @artietheferret I thought it was a subtweet back at the start! X),969167250199519232,FattyDragonite,In a belly bump mood~,969154547859034112
75,ScottReckamp,"@krystalwolak i. is this a months old subtweet at me, or a months old subtweet at someone else",969151843824799744,krystalwolak,"throw me a freaking bone here, scott",937079942273224704
76,Browtweaten,@trojansauce Please don't subtweet about my slashfic,969122933594574849,House_Feminist,Who wants to talk about how fucking good Lois Lowry’s young adult  novel The Giver is,969081853914173440
77,Cloutilicueta,@iits_Sibu subtweet to the niggas she curved now that are laughing with Mandy at her jokes https://t.co/E9Z1YbvNkU,969119665208332288,iits_Sibu,"When someone wants something they can't have, they will always try to degrade it and mock it so others will be discouraged from getting it.",969109953217785856
78,mickified,@Justin_Geldz Is this one a subtweet?,969118608025464832,Justin_Geldz,"""Tell him that whatever the appropriate sentiments are, those are my genuine feelings.""",967854794688704512
79,jaredwilde,@AustinMcDonalds Don’t subtweet me,969113479931101184,AustinMcDonalds,I see everyone posting their fortnite wins on Snapchat but no one shows their kills 🤔,969111543534309376
80,smktty,@Harocaz Don’t subtweet me I have PTSD.,969112220897566720,Harocaz,If niggas would stop being scared n speak to me 😭😭😭😭😭😭😭,969099255624486913
81,BillySierra16,@IsaacLHarris @NickVanExit Because that's the whole point of a subtweet,969108858739322880,NickVanExit,"You know who's been really quiet about Dwight Powell for a while?
 👀",969033167318511618
82,IsaacLHarris,"@NickVanExit Wait, how am I just seeing this tweet and why didn’t you bring this subtweet up on the pod?",969107278895964161,NickVanExit,"You know who's been really quiet about Dwight Powell for a while?
 👀",969033167318511618
83,MurrayOverboard,@internettara420 a subtweet? for me??? https://t.co/qlYIAhF9pR,969098282260508672,internettara420,i was kidding barry you’re not old,969097778885472256
84,RagedSlays,@Phobiabrah u subtweet everything ? i was fucking around why tf do u take everything serious weirdo?,969096820663209989,Phobiabrah,Nigga shot body when they lose every map on host,969096622843092993
85,drankturpentine,@ObscureGent wow subtweet,969092544607928321,ObscureGent,I think I’m going to work on being more sensitive and cry when people challenge my masculinity.,969092450236039168
86,DatGoldKid,@aoxford18 Lol well at least dat #subtweet Is not about me haha ☺️,969082162116026369,aoxford18,"Te olvidarè, te lo juro",969080669522579457
87,tropic_vkv,@racheeelv_ Nigga i hate when you subtweet me,969081619519885312,racheeelv_,How do people really give a fuck about what other people say about them... shit blows my mind lmao,969075184945819648
88,canibeyourwaifu,@minfiliawarde oh fuck u just subtweet me coward,969080925333196802,minfiliawarde,not to be dramatic or bossy but i want Nevermind goodnight everyone this tweet was about to be entirely too damn much,969075343083692032
89,HelloHaybearCos,@Skoringo_Tweets Is this a subtweet?? Is this passive aggressive???,969078359450730496,Skoringo_Tweets,"So... Subtweet = passive aggressive?

Got ya.",969077018846412800
90,duncangreive,@LucyZee_ Is this a subtweet re the bus this morning? If so I’m sorry I will wash harder promise.,969077822412107776,LucyZee_,Is it rude to change seats if someone next to you stinks of BO. Like it’s so thick in the air that I can taste it.,969066043028066304
91,zackfern,"@cachilders I feel like this is one of the realest tweets I’ve seen from you.

This and any work-related subtweet.",969077311831097346,cachilders,nostalgia is the mind-killer. nostalgia is the little-death that brings total obliteration.,969009793343004673
92,mikedmnd,@RatchAllyse (subtweet),969077285717356544,RatchAllyse,I feel like people who still use Snapchat are the most shady.,969069538099707905
93,nickwan,@AadilBharwani @bot__wan My sass-to-subtweet ratio is a lot lower than my bot's!,969075587284439040,bot__wan,i'm tweeting this from python . and haha if you don't know,969014360105299968
94,GabeBourne,@ExBaeTM I thought i was being honored with a subtweet my bad,969074465421365249,ExBaeTM,Maybe take 15 mins to sit down and teach yourself the difference between then and than,969068910149558273
95,ZaddieMiccardi,@degroff32 Omg did you subtweet me,969072452251856899,degroff32,Went up 60lbs this year on max bench and people are hating on what my max is... lol haters all over. Especially since I’m a golfer haha 😆,969053317249847296
96,lynneamarie_xo,@amshockey96 sick subtweet. @ me next time 💀,969070930319331328,amshockey96,Stop tryina be like me😂,969061420338950144
97,_rioforce,@Vanilla_Michael the most dangerous subtweet on earth,969070360384671744,Vanilla_Michael,Well my co-worker got fired today - but I suppose that happens when you don't actually do the work you were hired to do in the first place.,969044945293266944
