,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
2854,JaniDarasHai__,@beingmurk Thanks for the subtweet,951420531173150720,beingmurk,Shadi k bd log badal jate han,951419908600029184
2855,samewlharris,@acrimoniousmimi Did you just subtweet me,951409515349426176,acrimoniousmimi,I aspire to be a Samantha but I'm more of a Miranda than Miranda :(,951060677627555841
2856,leadernimjihyo,@MlNACHAEYU lmao on this subtweet 😂,951377229946134528,MlNACHAEYU,Twice x Exo is such a powerful combo,951376983019130885
2857,GalaxyAidoru,@SwishSSBM just subtweet me and laugh with me as i die slowly on the inside! 😭,951375785490812928,SwishSSBM,I feel like my good days are better and my bad days are worse. Not having a good day friends,951372086915813376
2858,theeanthonyhemp,@bng14 Cough cough subtweet,951374206456930304,bng14,I wonder if people that I don’t talk to anymore miss my 🔥🔥 memes I would send them.,951270222501068800
2859,ChiefNosa,@Arbvter Solid subtweet bro https://t.co/SQjohIzmIG,951373808644034560,Arbvter,need friends that aren't 100% weeaboo,951356093892087808
2860,EngiMurph,@sheshn94 Bitch did you just subtweet my ass? [Just kidding you know we both know better],951363751491592192,sheshn94,Which streamers do you find funny on Twitch? Ones who are not afraid to let loose?,951165071664742400
2861,YUN_ADAN,@rvnperez77 subtweet me again pussy,951353713003655168,rvnperez77,"apparently I’m really rude, but that’s just me being sarcastic 😢 and I thought I was sensitive lmao",951297706051305472
2862,AmberRaimer,@TheAbbyBagley subtweet af,951351114280112128,TheAbbyBagley,If you’re name starts with a J snapchat me. It’s a completely random letter don’t put to much thought into it,951337601054765057
2863,kennedarr,@taylor_feniello is this a subtweet about tua,951343482253336576,taylor_feniello,Imagine someone viewing your story but not answering your texts. LOL. Cool,951342963031986177
2864,GarbageSans,@bella_king0 dont subtweet me ya jerk,951341906750980096,bella_king0,why is it so hard to organize a D&amp;D game omg?,951326246234816514
2865,caryndi,@Jen_McLean Can’t believe you managed to livetweet and subtweet at the same time,951334896160538624,Jen_McLean,"""University. It's where smart people go to get annoying."" #thebeaverton",951291426356146177
2866,xosamrich,@daniel25hoops did u just subtweet me,951333788344254465,daniel25hoops,I get told I look like russ at least once a day,951331144603193344
2867,PunishedPersian,@internettara Don’t subtweet nigga I’m still awake,951332410234372097,internettara,persian groyper temp unfollowed and has temp muted me and keeps threatening to block me etc but it’s actually good when groypers hate you so,951332242185474048
2868,sailornomad,@johanfullstop Is this a subtweet about the Bible?,951330848594264064,johanfullstop,"love too say some completely bonkers fucked up shit and then justify it like, ""no no, the ancient texts are clear on this""",951295996775903234
2869,Dexter2k,@PowerGotGame subtweet?,951329753268539392,PowerGotGame,"i fw like 5 people in this community, everyone else is mad fake i just don't say anything",951329139973328896
2870,papayaspice,@thatguynevan wait. is this a subtweet,951328177208438784,thatguynevan,Honestly vaping is gross and whoever does it is ugly,951301302696296449
2871,GrilledAsparagi,@jiiggIypuff what if i subtweet u,951314670526259200,jiiggIypuff,please stop being condescending to me online,951309067913498625
2872,burnicus,@RyanCentral_ lmao. ..don't subtweet them. ..put em on blast! XD,951314502246682624,RyanCentral_,"How can you tell if someone isn't interested in the Overwatch League and lowkey hopes it fails

Don't worry they'll tell you 🙄🙄",951313636659625986
2873,cleoshantzz,@MattRamseyer I wanna say that this is a subtweet of me 🙄🤷🏼‍♀️,951311867464601600,MattRamseyer,Some people just shouldn’t drive in the winter 🙄,946191530967961601
2874,bayleedochwat,@bPatio2 is this a motherfuckin subtweet,951307537852387328,bPatio2,Lip gloss is one of those things I just can’t fux with,951290944661393408
2875,redtheorange,@taylorjmichelle I hear a subtweet 😂,951303541825720320,taylorjmichelle,i honestly just want to punch ppl in the throat when they smack or talk with food in their mouth like wyd,951302694291038208
2876,CoachBourbonUSA,@LazarusBlack5 @snowsoxy13 @Lexicanteven @MonicaW42 I'm gonna subtweet ur TC and tell her to quit the onlinez,951301872958222336,Lexicanteven,"shhh im watching spongebob and quitting twitter 
pls dont beg me to stay",951299495874068481
2877,Cboyles1600,@cassiebhuffman This is definitely a subtweet to your mother 😂,951301586059489280,cassiebhuffman,Don’t ask questions you don’t want to know the answers to,951295050432032768
2878,NatalieFawson,@jonahfeser Is this a subtweet ??? @kinzie_larsen,951300254799835136,jonahfeser,"Thread of why being vegan is bad
and why eating meat is good!",951238228387840000
2879,called_chris,@Emily_Ellis13 *******subtweet*******,951300029477720064,Emily_Ellis13,sux when ppl stop talking to u suddenly bc u have to wonder if they just stop caring about u or if they even ever started in the first place,951286901704740864
2880,Causey4,@_DavetheDave This is the first time I've ever thought I might be the subject of a subtweet.,951299753756758016,_DavetheDave,Having to be nice to people is the worst.,951297660056735745
